Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG] Env 0: reward=0.7675672173500061, accumulated=85.50360870361328, done=False
[DEBUG _on_step] timestep=115, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=86.31780242919922, done=False
[DEBUG _on_step] timestep=116, rewards=[0.8281716], dones=[False]
[DEBUG] Env 0: reward=0.8281716108322144, accumulated=87.1459732055664, done=False
[DEBUG _on_step] timestep=117, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=87.96016693115234, done=False
[DEBUG _on_step] timestep=118, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=88.77436065673828, done=False
[DEBUG _on_step] timestep=119, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=89.63285064697266, done=False
[DEBUG _on_step] timestep=120, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=90.53025817871094, done=False
[DEBUG _on_step] timestep=121, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=91.42766571044922, done=False
[DEBUG _on_step] timestep=122, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=92.35004425048828, done=False
[DEBUG _on_step] timestep=123, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=93.31803131103516, done=False
[DEBUG _on_step] timestep=124, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=94.28601837158203, done=False
[DEBUG _on_step] timestep=125, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=95.2083969116211, done=False
[DEBUG _on_step] timestep=126, rewards=[0.8734101], dones=[False]
[DEBUG] Env 0: reward=0.8734101057052612, accumulated=96.0818099975586, done=False
[DEBUG _on_step] timestep=127, rewards=[0.8714504], dones=[False]
[DEBUG] Env 0: reward=0.8714504241943359, accumulated=96.95326232910156, done=False
[DEBUG _on_step] timestep=128, rewards=[0.8224472], dones=[False]
[DEBUG] Env 0: reward=0.8224471807479858, accumulated=97.77571105957031, done=False
[DEBUG _on_step] timestep=129, rewards=[0.7730088], dones=[False]
[DEBUG] Env 0: reward=0.7730088233947754, accumulated=98.54872131347656, done=False
[DEBUG _on_step] timestep=130, rewards=[0.72336847], dones=[False]
[DEBUG] Env 0: reward=0.7233684659004211, accumulated=99.27208709716797, done=False
[DEBUG _on_step] timestep=131, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=99.94570922851562, done=False
[DEBUG _on_step] timestep=132, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=100.6132583618164, done=False
[DEBUG _on_step] timestep=133, rewards=[0.667547], dones=[False]
[DEBUG] Env 0: reward=0.6675469875335693, accumulated=101.28080749511719, done=False
[DEBUG _on_step] timestep=134, rewards=[0.61852264], dones=[False]
[DEBUG] Env 0: reward=0.6185226440429688, accumulated=101.89933013916016, done=False
[DEBUG _on_step] timestep=135, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=102.52379608154297, done=False
[DEBUG _on_step] timestep=136, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=103.19818115234375, done=False
[DEBUG _on_step] timestep=137, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=103.82264709472656, done=False
[DEBUG _on_step] timestep=138, rewards=[0.61852264], dones=[False]
[DEBUG] Env 0: reward=0.6185226440429688, accumulated=104.44116973876953, done=False
[DEBUG _on_step] timestep=139, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=105.06563568115234, done=False
[DEBUG _on_step] timestep=140, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=105.74002075195312, done=False
[DEBUG _on_step] timestep=141, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=106.41363525390625, done=False
[DEBUG _on_step] timestep=142, rewards=[0.62380195], dones=[False]
[DEBUG] Env 0: reward=0.6238019466400146, accumulated=107.03743743896484, done=False
[DEBUG _on_step] timestep=143, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=107.7110595703125, done=False
[DEBUG _on_step] timestep=144, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=108.38544464111328, done=False
[DEBUG _on_step] timestep=145, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=109.0099105834961, done=False
[DEBUG _on_step] timestep=146, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=109.68429565429688, done=False
[DEBUG _on_step] timestep=147, rewards=[0.624467], dones=[False]
[DEBUG] Env 0: reward=0.6244670152664185, accumulated=110.30876159667969, done=False
[DEBUG _on_step] timestep=148, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=110.98314666748047, done=False
[DEBUG _on_step] timestep=149, rewards=[0.6736183], dones=[False]
[DEBUG] Env 0: reward=0.6736183166503906, accumulated=111.65676879882812, done=False
[DEBUG _on_step] timestep=150, rewards=[0.6743852], dones=[False]
[DEBUG] Env 0: reward=0.6743851900100708, accumulated=112.3311538696289, done=False
